Hour=2, Sec=0, ControlIter=1, Element=StorageController2.sc, Action=FLEET SET TO CHARGING BY TIME TRIGGER
Hour=20, Sec=0, ControlIter=1, Element=StorageController2.sc, Action=ATTEMPTING TO DISPATCH 343.943 KW WITH 5560.81 KWH REMAINING AND 1470 KWH RESERVE.
Hour=21, Sec=0, ControlIter=1, Element=StorageController2.sc, Action=ATTEMPTING TO DISPATCH -132.186 KW WITH 4666.21 KWH REMAINING AND 1470 KWH RESERVE.
Hour=21, Sec=0, ControlIter=1, Element=StorageController2.sc, Action=REQUESTING STORAGE2.A TO DISPATCH 31.1162 KW. FINAL KWOUT IS 31.1162 KW
Hour=21, Sec=0, ControlIter=1, Element=StorageController2.sc, Action=REQUESTING STORAGE2.B TO DISPATCH 81.1162 KW. FINAL KWOUT IS 81.1162 KW
Hour=21, Sec=0, ControlIter=1, Element=StorageController2.sc, Action=REQUESTING STORAGE2.C TO DISPATCH 156.116 KW. FINAL KWOUT IS 156.116 KW
Hour=21, Sec=0, ControlIter=1, Element=StorageController2.sc, Action=REQUESTING STORAGE2.D TO DISPATCH 131.116 KW. FINAL KWOUT IS 131.116 KW
Hour=21, Sec=0, ControlIter=1, Element=StorageController2.sc, Action=REQUESTING STORAGE2.E TO DISPATCH 56.1162 KW. FINAL KWOUT IS 56.1162 KW
Hour=21, Sec=0, ControlIter=1, Element=StorageController2.sc, Action=REQUESTING STORAGE2.F TO DISPATCH 81.1162 KW. FINAL KWOUT IS 81.1162 KW
Hour=21, Sec=0, ControlIter=1, Element=StorageController2.sc, Action=REQUESTING STORAGE2.G TO DISPATCH 106.116 KW. FINAL KWOUT IS 106.116 KW
Hour=22, Sec=0, ControlIter=1, Element=StorageController2.sc, Action=ATTEMPTING TO DISPATCH -736.05 KW WITH 3914.56 KWH REMAINING AND 1470 KWH RESERVE.
Hour=22, Sec=0, ControlIter=1, Element=StorageController2.sc, Action=REQUESTING STORAGE2.A TO DISPATCH -74.0338 KW. SETTING STORAGE2.A TO IDLING STATE. FINAL KWOUT IS -0.606796 KW
Hour=22, Sec=0, ControlIter=1, Element=StorageController2.sc, Action=REQUESTING STORAGE2.B TO DISPATCH -24.0338 KW. SETTING STORAGE2.B TO IDLING STATE. FINAL KWOUT IS -1.21359 KW
Hour=22, Sec=0, ControlIter=1, Element=StorageController2.sc, Action=REQUESTING STORAGE2.C TO DISPATCH 50.9662 KW. FINAL KWOUT IS 50.9662 KW
Hour=22, Sec=0, ControlIter=1, Element=StorageController2.sc, Action=REQUESTING STORAGE2.D TO DISPATCH 25.9662 KW. FINAL KWOUT IS 25.9662 KW
Hour=22, Sec=0, ControlIter=1, Element=StorageController2.sc, Action=REQUESTING STORAGE2.E TO DISPATCH -49.0338 KW. SETTING STORAGE2.E TO IDLING STATE. FINAL KWOUT IS -0.910194 KW
Hour=22, Sec=0, ControlIter=1, Element=StorageController2.sc, Action=REQUESTING STORAGE2.F TO DISPATCH -24.0338 KW. SETTING STORAGE2.F TO IDLING STATE. FINAL KWOUT IS -1.21359 KW
Hour=22, Sec=0, ControlIter=1, Element=StorageController2.sc, Action=REQUESTING STORAGE2.G TO DISPATCH 0.966234 KW. FINAL KWOUT IS 0.966234 KW
Hour=22, Sec=0, ControlIter=2, Element=StorageController2.sc, Action=ATTEMPTING TO DISPATCH -116.378 KW WITH 3914.56 KWH REMAINING AND 1470 KWH RESERVE.
Hour=22, Sec=0, ControlIter=2, Element=StorageController2.sc, Action=REQUESTING STORAGE2.C TO DISPATCH 34.3408 KW. FINAL KWOUT IS 34.3408 KW
Hour=22, Sec=0, ControlIter=2, Element=StorageController2.sc, Action=REQUESTING STORAGE2.D TO DISPATCH 9.34076 KW. FINAL KWOUT IS 9.34076 KW
Hour=23, Sec=0, ControlIter=1, Element=StorageController2.sc, Action=ATTEMPTING TO DISPATCH -1546.49 KW WITH 3856.45 KWH REMAINING AND 1470 KWH RESERVE.
Hour=23, Sec=0, ControlIter=1, Element=StorageController2.sc, Action=REQUESTING STORAGE2.C TO DISPATCH -186.586 KW. SETTING STORAGE2.C TO IDLING STATE. FINAL KWOUT IS -2.12379 KW
Hour=23, Sec=0, ControlIter=1, Element=StorageController2.sc, Action=REQUESTING STORAGE2.D TO DISPATCH -211.586 KW. SETTING STORAGE2.D TO IDLING STATE. FINAL KWOUT IS -1.82039 KW
